transaction_id,customer_id,date,amount,category,province,tier,is_anomaly
TXN03695,CUST0302,2023-01-09,6974.17,Furniture,Western Cape,high,False
TXN01586,CUST0140,2023-01-09,557.38,Health & Beauty,Limpopo,high,False
TXN03936,CUST0325,2023-01-10,783.84,Tools,Limpopo,mid,False
TXN02806,CUST0235,2023-01-10,388.86,Health & Beauty,Gauteng,high,False
TXN04336,CUST0362,2023-01-10,592.44,Clothing,KwaZulu-Natal,mid,False
TXN00224,CUST0017,2023-01-10,222.58,Groceries,Gauteng,mid,False
TXN04319,CUST0361,2023-01-10,179.5,Stationery,Gauteng,mid,False
TXN00781,CUST0057,2023-01-10,6417.71,Furniture,Gauteng,high,False
TXN02447,CUST0205,2023-01-10,3916.51,Electronics,Western Cape,high,False
TXN00286,CUST0023,2023-01-10,1073.76,Sports,Gauteng,high,False
TXN01415,CUST0118,2023-01-10,563.68,Tools,Gauteng,low,False
TXN00679,CUST0050,2023-01-10,6575.87,Furniture,Gauteng,high,False
TXN03220,CUST0265,2023-01-10,4343.17,Electronics,Eastern Cape,high,False
TXN00422,CUST0031,2023-01-10,303.06,Stationery,Western Cape,high,False
TXN02156,CUST0188,2023-01-11,4635.5,Electronics,Western Cape,high,False
TXN00932,CUST0071,2023-01-11,1332.78,Tools,KwaZulu-Natal,high,False
TXN03107,CUST0255,2023-01-11,326.68,Health & Beauty,Gauteng,mid,False
TXN02091,CUST0183,2023-01-11,987.64,Tools,Limpopo,mid,False
TXN01645,CUST0145,2023-01-11,3529.38,Furniture,Gauteng,mid,False
TXN02157,CUST0188,2023-01-12,606.11,Groceries,Western Cape,high,False
TXN01597,CUST0141,2023-01-12,484.55,Electronics,Limpopo,low,False
TXN01209,CUST0097,2023-01-12,173.89,Stationery,Western Cape,mid,False
TXN02197,CUST0189,2023-01-12,7955.71,Furniture,Western Cape,high,False
TXN00318,CUST0025,2023-01-12,3907.12,Electronics,Western Cape,high,False
TXN00196,CUST0016,2023-01-12,158.22,Health & Beauty,Gauteng,mid,False
TXN00427,CUST0031,2023-01-12,4766.27,Electronics,Western Cape,high,False
TXN01244,CUST0098,2023-01-12,591.7,Groceries,Western Cape,high,False
TXN02748,CUST0229,2023-01-12,580.81,Health & Beauty,Eastern Cape,high,False
TXN01875,CUST0163,2023-01-12,451.34,Groceries,KwaZulu-Natal,high,False
TXN03309,CUST0270,2023-01-12,1770.13,Electronics,Gauteng,mid,False
TXN00263,CUST0023,2023-01-12,348.04,Stationery,Gauteng,high,False
TXN03879,CUST0319,2023-01-13,440.86,Health & Beauty,Gauteng,high,False
TXN03056,CUST0251,2023-01-13,424.33,Health & Beauty,Gauteng,high,False
TXN01093,CUST0085,2023-01-13,1031.11,Sports,Gauteng,mid,False
TXN01431,CUST0121,2023-01-13,320.27,Clothing,Eastern Cape,mid,False
TXN04619,CUST0387,2023-01-14,301.33,Groceries,Gauteng,mid,False
TXN04729,CUST0396,2023-01-14,284.44,Sports,Limpopo,low,False
TXN02947,CUST0242,2023-01-14,512.13,Clothing,Limpopo,mid,False
TXN03491,CUST0287,2023-01-14,555.83,Sports,Western Cape,mid,False
TXN01017,CUST0078,2023-01-14,400.91,Groceries,Gauteng,mid,False
TXN00681,CUST0050,2023-01-14,1280.82,Clothing,Gauteng,high,False
TXN01376,CUST0115,2023-01-14,1118.65,Tools,KwaZulu-Natal,high,False
TXN03482,CUST0286,2023-01-15,297.38,Health & Beauty,Gauteng,mid,False
TXN04374,CUST0365,2023-01-15,986.63,Clothing,Limpopo,high,False
TXN00753,CUST0057,2023-01-15,1711.81,Sports,Gauteng,high,False
TXN04187,CUST0350,2023-01-15,283.46,Groceries,KwaZulu-Natal,mid,False
TXN04676,CUST0394,2023-01-15,2801.82,Furniture,KwaZulu-Natal,mid,False
TXN03212,CUST0264,2023-01-15,189.69,Groceries,Western Cape,mid,False
TXN03645,CUST0298,2023-01-15,273.63,Groceries,Gauteng,mid,False
TXN04601,CUST0385,2023-01-15,4588.36,Furniture,KwaZulu-Natal,mid,False
TXN03068,CUST0251,2023-01-16,7428.02,Furniture,Gauteng,high,False
TXN01847,CUST0160,2023-01-16,172.57,Groceries,KwaZulu-Natal,mid,False
TXN01990,CUST0173,2023-01-16,442.96,Sports,Western Cape,mid,False
TXN03743,CUST0304,2023-01-16,317.88,Stationery,KwaZulu-Natal,high,False
TXN03296,CUST0269,2023-01-16,650.35,Tools,Gauteng,mid,False
TXN04252,CUST0355,2023-01-16,396.29,Health & Beauty,Gauteng,high,False
TXN03596,CUST0295,2023-01-16,3691.0,Electronics,Gauteng,high,False
TXN04403,CUST0369,2023-01-16,2306.8,Electronics,Gauteng,mid,False
TXN03274,CUST0267,2023-01-16,1006.8,Tools,KwaZulu-Natal,mid,False
TXN03434,CUST0281,2023-01-16,1936.95,Electronics,Eastern Cape,low,False
TXN03989,CUST0329,2023-01-16,801.33,Sports,Western Cape,mid,False
TXN04674,CUST0393,2023-01-17,360.13,Health & Beauty,Gauteng,mid,False
TXN03770,CUST0305,2023-01-17,367.88,Health & Beauty,KwaZulu-Natal,high,False
TXN03114,CUST0256,2023-01-17,997.91,Sports,Western Cape,high,False
TXN00387,CUST0029,2023-01-17,50.0,Stationery,Western Cape,mid,False
TXN02684,CUST0225,2023-01-17,527.31,Sports,Gauteng,mid,False
TXN00073,CUST0007,2023-01-17,3884.02,Electronics,Gauteng,mid,False
TXN04323,CUST0361,2023-01-17,70.92,Health & Beauty,Gauteng,mid,False
TXN03365,CUST0274,2023-01-17,492.18,Sports,Eastern Cape,mid,False
TXN00079,CUST0007,2023-01-17,658.22,Clothing,Gauteng,mid,False
TXN03825,CUST0312,2023-01-17,132.64,Clothing,Gauteng,mid,False
TXN03999,CUST0330,2023-01-18,304.56,Health & Beauty,Gauteng,mid,False
TXN01922,CUST0164,2023-01-18,1279.62,Clothing,Western Cape,high,False
TXN01715,CUST0149,2023-01-19,2638.86,Electronics,Gauteng,mid,False
TXN04358,CUST0365,2023-01-19,1165.66,Sports,Limpopo,high,False
TXN02776,CUST0233,2023-01-19,979.1,Clothing,Western Cape,mid,False
TXN01010,CUST0077,2023-01-19,481.04,Groceries,KwaZulu-Natal,high,False
TXN04752,CUST0399,2023-01-19,1009.06,Clothing,KwaZulu-Natal,mid,False
TXN01582,CUST0140,2023-01-19,1055.41,Tools,Limpopo,high,False
TXN02629,CUST0218,2023-01-19,2173.84,Electronics,KwaZulu-Natal,mid,False
TXN04137,CUST0344,2023-01-19,1963.97,Furniture,Western Cape,mid,False
TXN01703,CUST0148,2023-01-19,847.38,Sports,Western Cape,mid,False
TXN04363,CUST0365,2023-01-19,487.66,Health & Beauty,Limpopo,high,False
TXN00117,CUST0010,2023-01-20,740.56,Clothing,KwaZulu-Natal,high,False
TXN03519,CUST0290,2023-01-20,558.38,Clothing,Western Cape,mid,False
TXN00435,CUST0031,2023-01-20,3705.71,Electronics,Western Cape,high,False
TXN04444,CUST0373,2023-01-20,582.41,Health & Beauty,Gauteng,high,False
TXN03075,CUST0251,2023-01-21,405.59,Health & Beauty,Gauteng,high,False
TXN04539,CUST0380,2023-01-21,2279.09,Electronics,Gauteng,mid,False
TXN00912,CUST0068,2023-01-21,324.12,Clothing,Eastern Cape,low,False
TXN04475,CUST0374,2023-01-21,309.82,Health & Beauty,KwaZulu-Natal,mid,False
TXN04292,CUST0357,2023-01-22,3302.12,Furniture,Gauteng,mid,False
TXN02096,CUST0183,2023-01-22,143.77,Stationery,Limpopo,mid,False
TXN00655,CUST0048,2023-01-22,193.19,Stationery,Western Cape,low,False
TXN00683,CUST0050,2023-01-22,1107.8,Tools,Gauteng,high,False
TXN03928,CUST0323,2023-01-22,452.21,Health & Beauty,KwaZulu-Natal,high,False
TXN02441,CUST0205,2023-01-23,1166.73,Sports,Western Cape,high,False
TXN02202,CUST0190,2023-01-23,344.33,Groceries,Gauteng,mid,False
TXN03709,CUST0302,2023-01-23,3486.97,Electronics,Western Cape,high,False
TXN03534,CUST0291,2023-01-23,2117.02,Electronics,Gauteng,mid,False
TXN02300,CUST0197,2023-01-23,196.42,Health & Beauty,KwaZulu-Natal,mid,False
TXN02657,CUST0222,2023-01-24,189.24,Stationery,Western Cape,mid,False
TXN04396,CUST0367,2023-01-24,95.1,Stationery,Limpopo,low,False
TXN00207,CUST0016,2023-01-24,6183.44,Furniture,Gauteng,mid,False
TXN03183,CUST0260,2023-01-24,5035.66,Furniture,Gauteng,mid,False
TXN04595,CUST0385,2023-01-24,3356.94,Electronics,KwaZulu-Natal,mid,False
TXN04214,CUST0352,2023-01-25,265.34,Tools,Eastern Cape,low,False
TXN01700,CUST0148,2023-01-25,3259.51,Furniture,Western Cape,mid,False
TXN00345,CUST0025,2023-01-25,240.16,Stationery,Western Cape,high,False
TXN00883,CUST0062,2023-01-25,139.16,Stationery,Gauteng,mid,False
TXN04516,CUST0377,2023-01-25,139.82,Stationery,Eastern Cape,mid,False
TXN01199,CUST0096,2023-01-25,665.5,Tools,Western Cape,mid,False
TXN02664,CUST0223,2023-01-25,375.05,Sports,Gauteng,mid,False
TXN04133,CUST0344,2023-01-25,3245.6,Electronics,Western Cape,mid,False
TXN03560,CUST0293,2023-01-25,579.49,Clothing,Eastern Cape,mid,False
TXN03132,CUST0256,2023-01-26,224.68,Stationery,Western Cape,high,False
TXN02238,CUST0192,2023-01-26,111.1,Groceries,Eastern Cape,mid,False
TXN03126,CUST0256,2023-01-26,906.69,Clothing,Western Cape,high,False
TXN04446,CUST0373,2023-01-26,1079.58,Tools,Gauteng,high,False
TXN00493,CUST0035,2023-01-26,4853.69,Electronics,Limpopo,high,False
TXN01161,CUST0092,2023-01-26,50.0,Health & Beauty,KwaZulu-Natal,mid,False
TXN03228,CUST0265,2023-01-27,361.85,Groceries,Eastern Cape,high,False
TXN03759,CUST0305,2023-01-27,1100.59,Sports,KwaZulu-Natal,high,False
TXN01523,CUST0132,2023-01-27,497.58,Clothing,Gauteng,low,False
TXN03355,CUST0274,2023-01-27,2673.46,Electronics,Eastern Cape,mid,False
TXN00058,CUST0006,2023-01-27,1135.32,Electronics,Gauteng,low,False
TXN01727,CUST0151,2023-01-27,5708.67,Furniture,Eastern Cape,mid,False
TXN03696,CUST0302,2023-01-28,1347.5,Sports,Western Cape,high,False
TXN02269,CUST0194,2023-01-28,2647.94,Furniture,KwaZulu-Natal,mid,False
TXN03553,CUST0293,2023-01-28,112.18,Stationery,Eastern Cape,mid,False
TXN02519,CUST0211,2023-01-28,281.51,Stationery,Western Cape,high,False
TXN00220,CUST0017,2023-01-28,460.36,Clothing,Gauteng,mid,False
TXN03543,CUST0292,2023-01-28,515.98,Sports,Gauteng,mid,False
TXN03748,CUST0304,2023-01-28,1415.24,Tools,KwaZulu-Natal,high,False
TXN03490,CUST0287,2023-01-29,239.38,Tools,Western Cape,mid,False
TXN01348,CUST0113,2023-01-29,76.45,Health & Beauty,Limpopo,low,False
TXN04136,CUST0344,2023-01-29,297.0,Health & Beauty,Western Cape,mid,False
TXN02838,CUST0236,2023-01-29,546.97,Clothing,KwaZulu-Natal,mid,False
TXN02741,CUST0229,2023-01-29,3753.95,Electronics,Eastern Cape,high,False
TXN00002,CUST0001,2023-01-29,1944.48,Tools,Gauteng,high,False
TXN00064,CUST0007,2023-01-29,139.52,Stationery,Gauteng,mid,False
TXN04244,CUST0354,2023-01-30,995.53,Tools,Gauteng,mid,False
TXN01145,CUST0091,2023-01-30,202.45,Groceries,Gauteng,mid,False
TXN04003,CUST0330,2023-01-30,2509.43,Electronics,Gauteng,mid,False
TXN03294,CUST0269,2023-01-30,271.74,Groceries,Gauteng,mid,False
TXN03698,CUST0302,2023-01-30,1321.04,Clothing,Western Cape,high,False
TXN00606,CUST0041,2023-01-30,7707.41,Furniture,Gauteng,high,False
TXN03700,CUST0302,2023-01-30,248.73,Stationery,Western Cape,high,False
TXN04563,CUST0382,2023-01-30,2778.48,Electronics,KwaZulu-Natal,mid,False
TXN04569,CUST0383,2023-01-31,209.35,Health & Beauty,KwaZulu-Natal,mid,False
TXN02572,CUST0214,2023-01-31,612.06,Health & Beauty,Gauteng,high,False
TXN00139,CUST0010,2023-01-31,514.29,Health & Beauty,KwaZulu-Natal,high,False
TXN04723,CUST0395,2023-01-31,1376.83,Tools,Gauteng,high,False
TXN04494,CUST0376,2023-01-31,207.29,Stationery,Gauteng,high,False
TXN03910,CUST0323,2023-01-31,1554.84,Tools,KwaZulu-Natal,high,False
TXN01876,CUST0163,2023-02-01,1074.8,Clothing,KwaZulu-Natal,high,False
TXN02753,CUST0230,2023-02-01,350.87,Health & Beauty,KwaZulu-Natal,mid,False
TXN04116,CUST0342,2023-02-01,836.3,Sports,Western Cape,mid,False
TXN04502,CUST0376,2023-02-01,370.7,Groceries,Gauteng,high,False
TXN02901,CUST0241,2023-02-01,853.95,Sports,Limpopo,high,False
TXN03055,CUST0251,2023-02-01,259.24,Stationery,Gauteng,high,False
TXN00488,CUST0035,2023-02-01,603.57,Health & Beauty,Limpopo,high,False
TXN01060,CUST0083,2023-02-01,2192.76,Electronics,Gauteng,mid,False
TXN03731,CUST0303,2023-02-01,681.74,Clothing,Western Cape,mid,False
TXN00024,CUST0001,2023-02-01,1306.7,Tools,Gauteng,high,False
TXN02591,CUST0217,2023-02-02,3086.55,Electronics,Gauteng,high,False
TXN03834,CUST0314,2023-02-02,3014.49,Electronics,Limpopo,mid,False
TXN04467,CUST0373,2023-02-02,1749.78,Sports,Gauteng,high,False
TXN00155,CUST0011,2023-02-02,1060.57,Tools,Gauteng,mid,False
TXN03993,CUST0330,2023-02-03,181.86,Groceries,Gauteng,mid,False
TXN04648,CUST0391,2023-02-03,683.85,Clothing,Limpopo,mid,False
TXN03188,CUST0261,2023-02-03,1586.38,Electronics,Western Cape,mid,False
TXN00056,CUST0005,2023-02-03,1393.3,Electronics,Gauteng,mid,False
TXN04040,CUST0333,2023-02-03,84.96,Health & Beauty,Gauteng,mid,False
TXN03040,CUST0250,2023-02-03,3277.2,Furniture,Eastern Cape,mid,False
TXN04218,CUST0352,2023-02-04,922.15,Electronics,Eastern Cape,low,False
TXN00205,CUST0016,2023-02-04,129.29,Stationery,Gauteng,mid,False
TXN03367,CUST0275,2023-02-04,3050.95,Electronics,Western Cape,mid,False
TXN03204,CUST0263,2023-02-04,158.03,Health & Beauty,Gauteng,mid,False
TXN04657,CUST0392,2023-02-04,300.42,Groceries,Western Cape,mid,False
TXN03902,CUST0322,2023-02-05,149.51,Stationery,KwaZulu-Natal,mid,False
TXN04390,CUST0366,2023-02-05,352.0,Health & Beauty,Gauteng,mid,False
TXN00304,CUST0024,2023-02-05,705.75,Sports,Gauteng,mid,False
TXN03221,CUST0265,2023-02-05,318.9,Stationery,Eastern Cape,high,False
TXN03822,CUST0312,2023-02-05,228.86,Health & Beauty,Gauteng,mid,False
TXN01685,CUST0147,2023-02-06,319.73,Stationery,Western Cape,high,False
TXN04039,CUST0333,2023-02-06,741.78,Sports,Gauteng,mid,False
TXN03493,CUST0288,2023-02-06,521.47,Sports,Western Cape,mid,False
TXN00128,CUST0010,2023-02-06,6184.26,Furniture,KwaZulu-Natal,high,False
TXN04308,CUST0358,2023-02-07,334.26,Health & Beauty,Western Cape,mid,False
TXN03701,CUST0302,2023-02-07,315.66,Stationery,Western Cape,high,False
TXN00126,CUST0010,2023-02-07,960.11,Sports,KwaZulu-Natal,high,False
TXN04320,CUST0361,2023-02-07,1276.4,Tools,Gauteng,mid,False
TXN01867,CUST0162,2023-02-08,140.01,Stationery,KwaZulu-Natal,mid,False
TXN03469,CUST0286,2023-02-08,345.83,Sports,Gauteng,mid,False
TXN03565,CUST0294,2023-02-08,247.98,Clothing,Gauteng,mid,False
TXN04090,CUST0340,2023-02-08,5950.95,Furniture,Gauteng,mid,False
TXN00075,CUST0007,2023-02-08,338.07,Groceries,Gauteng,mid,False
TXN01327,CUST0110,2023-02-08,2905.16,Electronics,Gauteng,low,False
TXN04380,CUST0365,2023-02-08,1053.9,Clothing,Limpopo,high,False
TXN00406,CUST0030,2023-02-08,4825.19,Electronics,Gauteng,high,False
TXN02932,CUST0241,2023-02-08,249.05,Stationery,Limpopo,high,False
TXN04285,CUST0357,2023-02-08,733.83,Tools,Gauteng,mid,False
TXN01061,CUST0083,2023-02-09,3968.0,Furniture,Gauteng,mid,False
TXN00506,CUST0035,2023-02-09,1479.34,Tools,Limpopo,high,False
TXN01767,CUST0156,2023-02-09,291.2,Tools,Gauteng,mid,False
TXN03088,CUST0253,2023-02-09,936.68,Sports,Eastern Cape,mid,False
TXN00803,CUST0059,2023-02-09,582.52,Health & Beauty,Gauteng,high,False
TXN01643,CUST0144,2023-02-09,2219.61,Furniture,Gauteng,mid,False
TXN04274,CUST0355,2023-02-09,1357.95,Tools,Gauteng,high,False
TXN00980,CUST0074,2023-02-09,50.0,Stationery,Eastern Cape,low,False
TXN04131,CUST0343,2023-02-09,1592.92,Electronics,Gauteng,low,False
TXN00131,CUST0010,2023-02-09,1274.94,Clothing,KwaZulu-Natal,high,False
TXN00609,CUST0041,2023-02-10,457.68,Health & Beauty,Gauteng,high,False
TXN00522,CUST0037,2023-02-10,470.96,Groceries,Gauteng,high,False
TXN01294,CUST0105,2023-02-11,524.83,Groceries,Eastern Cape,mid,False
TXN00074,CUST0007,2023-02-11,2138.19,Electronics,Gauteng,mid,False
TXN02763,CUST0230,2023-02-11,135.44,Stationery,KwaZulu-Natal,mid,False
TXN04469,CUST0373,2023-02-11,5673.67,Electronics,Gauteng,high,False
TXN04369,CUST0365,2023-02-11,730.09,Clothing,Limpopo,high,False
TXN03123,CUST0256,2023-02-11,629.22,Groceries,Western Cape,high,False
TXN03786,CUST0307,2023-02-11,335.34,Sports,Western Cape,mid,False
TXN02259,CUST0193,2023-02-11,225.74,Stationery,Eastern Cape,mid,False
TXN02235,CUST0191,2023-02-11,5593.87,Furniture,Gauteng,high,False
TXN04220,CUST0353,2023-02-11,112.75,Stationery,KwaZulu-Natal,mid,False
TXN03746,CUST0304,2023-02-12,4541.58,Electronics,KwaZulu-Natal,high,False
TXN01270,CUST0102,2023-02-12,2752.91,Electronics,KwaZulu-Natal,mid,False
TXN02220,CUST0191,2023-02-12,707.45,Clothing,Gauteng,high,False
TXN04510,CUST0376,2023-02-12,1132.32,Clothing,Gauteng,high,False
TXN01289,CUST0104,2023-02-12,172.21,Groceries,Western Cape,low,False
TXN02950,CUST0243,2023-02-12,289.93,Health & Beauty,Eastern Cape,mid,False
TXN02287,CUST0196,2023-02-12,466.57,Clothing,Gauteng,mid,False
TXN00265,CUST0023,2023-02-12,1548.59,Sports,Gauteng,high,False
TXN02336,CUST0200,2023-02-12,1342.0,Sports,KwaZulu-Natal,high,False
TXN01026,CUST0079,2023-02-12,91.13,Health & Beauty,Gauteng,low,False
TXN03965,CUST0327,2023-02-12,189.14,Stationery,Western Cape,high,False
TXN00078,CUST0007,2023-02-13,405.73,Groceries,Gauteng,mid,False
TXN02658,CUST0222,2023-02-13,332.69,Groceries,Western Cape,mid,False
TXN00774,CUST0057,2023-02-13,4250.61,Electronics,Gauteng,high,False
TXN03828,CUST0313,2023-02-13,92.08,Groceries,Gauteng,mid,False
TXN03374,CUST0276,2023-02-13,53.19,Groceries,Western Cape,low,False
TXN02427,CUST0205,2023-02-13,293.47,Stationery,Western Cape,high,False
TXN00735,CUST0055,2023-02-14,1432.22,Tools,Western Cape,high,False
TXN02880,CUST0239,2023-02-14,50.0,Sports,KwaZulu-Natal,mid,False
TXN03597,CUST0295,2023-02-14,3792.56,Electronics,Gauteng,high,False
TXN03047,CUST0251,2023-02-14,180.13,Stationery,Gauteng,high,False
TXN04278,CUST0355,2023-02-14,3609.5,Electronics,Gauteng,high,False
TXN02142,CUST0187,2023-02-14,6919.17,Furniture,Eastern Cape,high,False
TXN01035,CUST0080,2023-02-14,268.12,Groceries,Gauteng,mid,False
TXN01522,CUST0131,2023-02-14,494.2,Electronics,Western Cape,low,False
TXN03137,CUST0256,2023-02-15,524.79,Health & Beauty,Western Cape,high,False
TXN04184,CUST0348,2023-02-15,392.77,Clothing,Gauteng,mid,False
TXN00180,CUST0015,2023-02-15,550.22,Sports,Gauteng,mid,False
TXN04014,CUST0331,2023-02-15,372.37,Groceries,Gauteng,mid,False
TXN03060,CUST0251,2023-02-15,1666.52,Tools,Gauteng,high,False
TXN01560,CUST0138,2023-02-15,1109.05,Tools,KwaZulu-Natal,mid,False
TXN02109,CUST0184,2023-02-16,264.35,Health & Beauty,Eastern Cape,mid,False
TXN03567,CUST0294,2023-02-16,3888.76,Furniture,Gauteng,mid,False
TXN02036,CUST0177,2023-02-16,522.99,Health & Beauty,KwaZulu-Natal,high,False
TXN04089,CUST0339,2023-02-16,147.64,Stationery,Western Cape,mid,False
TXN02322,CUST0199,2023-02-16,686.98,Tools,Eastern Cape,mid,False
TXN00448,CUST0033,2023-02-16,524.04,Groceries,Gauteng,mid,False
TXN03024,CUST0248,2023-02-16,54.46,Stationery,Limpopo,mid,False
TXN01194,CUST0095,2023-02-16,4773.97,Furniture,KwaZulu-Natal,mid,False
TXN03313,CUST0270,2023-02-17,344.75,Health & Beauty,Gauteng,mid,False
TXN03771,CUST0305,2023-02-17,1833.09,Tools,KwaZulu-Natal,high,False
TXN04248,CUST0355,2023-02-17,4413.79,Electronics,Gauteng,high,False
TXN01048,CUST0082,2023-02-18,2840.28,Furniture,KwaZulu-Natal,mid,False
TXN01559,CUST0138,2023-02-18,301.81,Health & Beauty,KwaZulu-Natal,mid,False
TXN04753,CUST0399,2023-02-18,984.11,Sports,KwaZulu-Natal,mid,False
TXN00959,CUST0073,2023-02-18,298.33,Stationery,Gauteng,high,False
TXN00454,CUST0033,2023-02-18,74.5,Stationery,Gauteng,mid,False
TXN03619,CUST0296,2023-02-18,574.74,Tools,Western Cape,mid,False
TXN01780,CUST0157,2023-02-18,6275.47,Furniture,KwaZulu-Natal,high,False
TXN00858,CUST0061,2023-02-19,859.26,Sports,Gauteng,high,False
TXN00761,CUST0057,2023-02-19,683.82,Groceries,Gauteng,high,False
TXN00289,CUST0023,2023-02-19,1092.75,Sports,Gauteng,high,False
TXN01464,CUST0126,2023-02-19,631.46,Tools,Western Cape,mid,False
TXN03623,CUST0297,2023-02-19,249.81,Tools,KwaZulu-Natal,mid,False
TXN01227,CUST0098,2023-02-19,1067.72,Clothing,Western Cape,high,False
TXN00270,CUST0023,2023-02-20,501.22,Health & Beauty,Gauteng,high,False
TXN02898,CUST0240,2023-02-20,205.55,Groceries,Gauteng,mid,False
TXN02422,CUST0205,2023-02-20,612.11,Groceries,Western Cape,high,False
TXN01675,CUST0147,2023-02-20,607.67,Groceries,Western Cape,high,False
TXN00034,CUST0003,2023-02-20,671.45,Electronics,KwaZulu-Natal,mid,False
TXN03249,CUST0266,2023-02-20,291.22,Sports,KwaZulu-Natal,mid,False
TXN03722,CUST0303,2023-02-21,81.6,Stationery,Western Cape,mid,False
TXN01298,CUST0105,2023-02-21,861.08,Tools,Eastern Cape,mid,False
TXN02364,CUST0200,2023-02-21,3401.06,Electronics,KwaZulu-Natal,high,False
TXN01888,CUST0163,2023-02-21,213.21,Stationery,KwaZulu-Natal,high,False
TXN02944,CUST0242,2023-02-21,351.66,Health & Beauty,Limpopo,mid,False
TXN02113,CUST0184,2023-02-21,184.26,Groceries,Eastern Cape,mid,False
TXN03990,CUST0329,2023-02-22,427.66,Groceries,Western Cape,mid,False
TXN04592,CUST0384,2023-02-22,774.62,Clothing,Eastern Cape,mid,False
